plant_id,common_name,botanical_name,family,type,lifespan,season,soil_moisture,sun
1,Drops Of Gold,Prosartes hookeri Torr. var. parvifolia (S. Watson) Kartesz,Liliaceae,herbaceous,perennial,spring,moderate,partial shade
2,Treetrunk Fern,Anetium Splitg.,Vittariaceae,woody,na,spring,dry,full sun
3,Parish's Yampah,Perideridia parishii (J.M. Coult. & Rose) A. Nelson & J.F. Macbr. ssp. latifolia (A. Gray) T.I. Chuang & Constance,Apiaceae,woody,na,fall,wet,partial shade
4,Whisk Fern,Psilotum ×intermedium W.H. Wagner,Psilotaceae,herbaceous,biannual,spring,moderate,partial shade
5,Paintedtongue,Bouchetia erecta DC.,Solanaceae,woody,na,spring,moderate,full shade
6,Ferruginous Clerodendrum,Clerodendrum trichotomum Thunb. var. ferrugineum Nakai,Verbenaceae,woody,na,summer,wet,partial shade
7,Colorado Barberry,Berberis fendleri A. Gray,Berberidaceae,herbaceous,biannual,fall,moderate,full shade
8,Purple Chinese Houses,Collinsia heterophylla Buist ex Graham,Scrophulariaceae,woody,na,spring,moderate,full sun
9,Egg Milkvetch,Astragalus oophorus S. Watson,Fabaceae,woody,na,summer,wet,full shade
10,Northern Kittentails,Synthyris borealis Pennell,Scrophulariaceae,woody,na,summer,wet,full shade
11,Rimelia Lichen,Rimelia commensurata (Hale) Hale & Fletcher,Parmeliaceae,woody,na,fall,dry,full shade
12,Shasta Clarkia,Clarkia borealis E. Small ssp. arida E. Small,Onagraceae,herbaceous,biannual,fall,wet,full shade
13,Devil Cholla,Grusonia emoryi (Engelm.) Pinkava,Cactaceae,herbaceous,perennial,spring,dry,full shade
14,Red Mulberry,Morus rubra L.,Moraceae,herbaceous,annual,fall,wet,full shade
15,Stemless Dwarf-cudweed,Hesperevax acaulis (Kellogg) Greene,Asteraceae,herbaceous,annual,summer,moderate,partial shade
16,Hornwort,Anthoceros L. emend. Prosk.,Anthocerotaceae,woody,na,spring,dry,partial shade
17,Broadleaf Solomon's Seal,Polygonatum hirsutum (Bosc ex Poir.) Pursh,Liliaceae,herbaceous,perennial,spring,moderate,full sun
18,Threadleaf Fleabane,Erigeron filifolius (Hook.) Nutt.,Asteraceae,woody,na,spring,wet,full sun
19,Prickly Spiralgrass,Tuctoria mucronata (Crampton) J. Reeder,Poaceae,woody,na,summer,moderate,full sun
20,Hybrid Oak,Quercus ×ashei Trel.,Fagaceae,herbaceous,annual,spring,dry,partial shade
21,Underwood's Stopper,Eugenia underwoodii Britton,Myrtaceae,herbaceous,biannual,fall,dry,full shade
22,Bearded Cupgrass,Eriochloa aristata Vasey,Poaceae,herbaceous,perennial,summer,wet,partial shade
23,West Indian Spleenwort,Asplenium pteropus Kaulf.,Aspleniaceae,woody,na,summer,dry,partial shade
24,Oklahoma Beardtongue,Penstemon oklahomensis Pennell,Scrophulariaceae,herbaceous,annual,fall,wet,full shade
25,Great Basin Brome,Bromus polyanthus Scribn. ex Shear,Poaceae,herbaceous,perennial,summer,dry,full sun
26,Hybrid Willow,Salix ×schneiderii B. Boivin,Salicaceae,woody,na,spring,wet,full sun
27,Wideleaf Crumia Moss,Crumia latifolia (Kindb.) Schof.,Pottiaceae,herbaceous,biannual,fall,moderate,full sun
28,Willkommia,Willkommia Hack.,Poaceae,herbaceous,annual,fall,dry,partial shade
29,Nihoa Pritchardia,Pritchardia napaliensis H. St. John,Arecaceae,woody,na,summer,wet,full shade
30,Wilson's Milkvetch,Astragalus lentiginosus Douglas ex Hook. var. wilsonii (Greene) Barneby,Fabaceae,woody,na,spring,dry,full sun
31,Fringed Sedge,Carex crinita Lam. var. crinita,Cyperaceae,woody,na,spring,wet,partial shade
32,Pacific Pohlia Moss,Pohlia pacifica Shaw,Bryaceae,woody,na,fall,wet,full sun
33,Stebbins' Barley,×Elyhordeum stebbinsianum (Bowden) Bowden,Poaceae,herbaceous,annual,fall,dry,full sun
34,Smallleaf Giant Hyssop,Agastache parvifolia Eastw.,Lamiaceae,woody,na,summer,wet,full sun
35,Oneflowered Broomrape,Orobanche uniflora L.,Orobanchaceae,woody,na,summer,dry,full sun
36,Hawthorn,Crataegus atrovirens J.B. Phipps & R.J.O. Kennon,Rosaceae,herbaceous,perennial,summer,dry,full shade
37,Longflower Tuberose,Manfreda longiflora (Rose) Verh-Will.,Agavaceae,woody,na,spring,wet,full shade
38,Vlassov's Phascum Moss,Phascum vlassovii Laz.,Pottiaceae,herbaceous,perennial,spring,moderate,full shade
39,Chinquapin,Castanea pumila (L.) Mill.,Fagaceae,woody,na,fall,moderate,partial shade
40,Climbing Dayflower,Commelina diffusa Burm. f.,Commelinaceae,woody,na,summer,moderate,full sun
41,Desert Rose,Rosa stellata Wooton ssp. stellata,Rosaceae,herbaceous,perennial,spring,wet,full shade
42,Trans-pecos Stinkleaf,Nectouxia formosa Kunth,Solanaceae,herbaceous,biannual,fall,wet,full shade
43,Appalachian Cliff Fern,Woodsia appalachiana T.M.C. Taylor,Dryopteridaceae,herbaceous,biannual,fall,dry,full shade
44,Panamint Mountain Lupine,Lupinus magnificus M.E. Jones,Fabaceae,herbaceous,annual,summer,dry,partial shade
45,Santa Cruz Island Fringepod,Thysanocarpus conchuliferus Greene,Brassicaceae,woody,na,summer,wet,full shade
46,Wart Lichen,Staurothele tenuissima Degel.,Verrucariaceae,woody,na,fall,moderate,full shade
47,Slender Woodland Sedge,Carex digitalis Willd. var. floridana (L.H. Bailey) Naczi & Bryson,Cyperaceae,woody,na,fall,wet,full sun
48,Yellow Monardella,Monardella nana A. Gray,Lamiaceae,woody,na,spring,dry,partial shade
49,Glowvine,Saritaea magnifica (Sprague ex Stennis) Dugand,Bignoniaceae,woody,na,summer,wet,full shade
50,Mountain Hairgrass,Vahlodea atropurpurea (Wahlenb.) Fr. ex Hartm.,Poaceae,woody,na,summer,wet,full shade
51,Monte Guilarte Hollyfern,Polystichum calderonense Proctor,Dryopteridaceae,woody,na,fall,wet,full sun
52,Idaho Milkvetch,"Astragalus conjunctus S. Watson var. rickardii S.L. Welsh, K. Beck & F. Caplow",Fabaceae,woody,na,summer,wet,full shade
53,Bristly Hawkbit,Leontodon hispidus L.,Asteraceae,woody,na,spring,dry,full shade
54,Crupina,Crupina (Pers.) DC.,Asteraceae,woody,na,fall,wet,full sun
55,Desert Madwort,Alyssum desertorum Stapf var. desertorum,Brassicaceae,woody,na,fall,dry,full sun
56,Parakeetflower,Heliconia psittacorum L. f.,Heliconiaceae,woody,na,spring,moderate,partial shade
57,Cracked Lichen,Acarospora thelococcoides (Nyl.) Zahlbr.,Acarosporaceae,woody,na,fall,moderate,full shade
58,Arar Tree,Tetraclinis articulata (Vahl) Masters,Cupressaceae,herbaceous,biannual,fall,dry,full shade
59,Myrin's Aspicilia,Aspicilia myrinii (Fr.) Stein,Hymeneliaceae,woody,na,fall,dry,partial shade
60,Carolina Woodrush,Luzula acuminata Raf. ssp. carolinae (S. Watson) Z. Kaplan,Juncaceae,woody,na,summer,dry,full sun
61,Northern Rimmed Lichen,Aspicilia nordlandica (H. Magn.) Degel.,Hymeneliaceae,woody,na,summer,moderate,full shade
62,Hollyleaf Clover,Trifolium gymnocarpon Nutt.,Fabaceae,herbaceous,perennial,spring,wet,partial shade
63,Utah Columbine,Aquilegia scopulorum Tidestr. var. calcarea (M.E. Jones) Munz,Ranunculaceae,herbaceous,perennial,fall,moderate,full shade
64,Black Dropseed,Sporobolus interruptus Vasey,Poaceae,woody,na,fall,dry,partial shade
65,Owyhee Milkvetch,Astragalus atratus S. Watson var. owyheensis (A. Nelson & J.F. Macbr.) M.E. Jones,Fabaceae,herbaceous,perennial,fall,wet,full shade
66,Sphagnum,Sphagnum squarrosum Crome,Sphagnaceae,woody,na,spring,moderate,full sun
67,Alligatorlily,Hymenocallis palmeri S. Watson,Liliaceae,woody,na,summer,moderate,partial shade
68,Paradox Campylopus Moss,Campylopus paradoxus Wilson,Dicranaceae,herbaceous,perennial,spring,dry,full shade
69,Hairy Snakefern,Microgramma piloselloides (L.) Copeland,Polypodiaceae,herbaceous,perennial,spring,wet,full shade
70,Topelia Lichen,Topelia P.M. Jørg. & Vezda,Stictidaceae,woody,na,summer,wet,full sun
71,Kaulfuss' Lipfern,Gaga kaulfussii (Kunze) F.W. Li & Windham,Pteridaceae,herbaceous,annual,summer,dry,full sun
72,Leather Spineflower,Lastarriaea coriacea (Goodman) Hoover,Polygonaceae,herbaceous,annual,spring,wet,full shade
73,Shameplant,Mimosa pudica L. var. unijuga (Duchass. & Walp.) Griseb.,Fabaceae,woody,na,fall,dry,partial shade
74,Pineywoods Geranium,Geranium caespitosum James var. caespitosum,Geraniaceae,woody,na,summer,moderate,full sun
75,Wild Garlic,Tulbaghia L.,Liliaceae,woody,na,fall,wet,partial shade
76,Andrews' Blackberry,Rubus andrewsianus Blanch.,Rosaceae,herbaceous,annual,fall,moderate,full sun
